name,部位,短命,ASSASSIN HONED,BALANCED,破滅,BATTLE LUST,BERSERK,吸血,BONE BREAKER,補強不可,詠唱集中,CHAOS DAMAGE,CRAFT BONUS,CRAFT EXCEPTIONAL BONUS,CURSED,CURSE REMOVAL,物理,炎,冷気,毒,エネルギー,HP変換,HP変換(物理),HP変換(炎),HP変換(冷気),HP変換(毒),HP変換(エネルギー),手持ちダメージ,ダメージ修正,回避,DEX,DURABILITY BONUS,POT強化,CR,FC,FOCUS,炎エリア,冷気エリア,毒エリア,エネルギーエリア,命中,Curse,Dispel,STMダウン,Fireball,Harm,HPリーチ,Lightning,命中低下,回避低下,Magic Arrow,Mana Drain,MPリーチ,HP,HP回復,STMリーチ,INT,LAST PARRY CHANCE,矢弾コスト,MPコスト,秘薬コスト,装備条件,幸運,瞑想可,魔道手持ち,MP,MANA PHASE,MP回復,MASSIVE,NIGHT SIGHT,PRIZED,RANDOM PROTECTION,RANDOM KILLER,RANDOM SUMMONER,麻痺カウンター,物理ダメージ反射,REPLENISH CHARGES,物理抵抗,炎抵抗,冷気抵抗,毒抵抗,エネルギー抵抗,RESONANCE,SEARING,自己修復,SOUL CHARGE,SPARKS,詠唱可,呪文ダメージ,詠唱集中,破片残留,STM,STM回復,STR,SWARM,速度増,TOXIC WEAPON,UNWIELDY,ベスト,VELOCITY,WARD REMOVAL,重量軽減,WILDFIRE REMOVAL,耐久性,装備STR,基礎ダメージ,基礎速度,基礎重量,片手,両手,基礎スキル,射程,4G,除外,略,date,url,備考,,,,,,,,,,,,,
Bow Of The Juka King,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,40,,,,,,,,,,,,,15,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255/255,30,17-21,4.25,,,*,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[REPTILE SLAYER],,,,,,,,,,,,,
Breath of the Dead,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,255/255,25,12-16,3,,*,,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11],,,,,,,,,,,,,
Captain Quacklebush’s Cutlass,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,50,,,5,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,*,,,,,255/255,25,10-14,2.5,,*,,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,,,,,,,,,,,,,
Cavalry’s Folly,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,10,,,,40,,,,,40,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,14-17,3,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,,,,,,,,,,,,,
Cavorting Club,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,,,3,,,,,,,,,,,35,,,,,,,,255/255,40,10-14,2.5,,*,,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,case human,—,—,—,—,—,(EARRINGS ON A GARGOYLE BEING THE EQUIVALENT OF THE HEAD SLOT ON OTHER RACES’ ARMOR)],,,,,,
Channeller’s Defender,手持ち,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,10,,,,1,,,,,,,5,,,,,,,,60,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,20,,,,,,,,,,11-15,2.75,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,,,,,,,,,,,,,
Claws of the Berserker,手持ち,,,,,*,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,1,,,,,,,,,,,,,45,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,10-12,2,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,PROVIDES TELEPORTATION TO SHRINES IN TRAMMEL FELUCCA AND TOKUNO],,,,,,,,,,,,
Cold Blood,手持ち,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,40,,,,,,,,255/255,10,10-14,2.5,,*,,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,SHARD BOUND],,,,,,,,,,,,
Conjurer’s Grimoire,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-events/,[Event:Halloween 2008,,,,,,,,,,,,,
Darkened Sky,手持ち,,,,,,,,,,,,,,,,,,50,,50,,,,,,,50,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,255/255,15,10-13,2,,,*,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-,EVALUATE INTELLIGENCE +20],,,,,,,,,,,,
Death’s Head,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,10,,,,45,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,11-15,2.75,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,HEALING 15%,SHARD BOUND],,,,,,,,,,,
Demon Forks,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,35,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10,,10,,,,,,,,,,,,,,,,,,,,,,,255/255,15,10-13,2,,,*,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-, Shrouded Sails,SHARD BOUND],,,,,,,,,,,
Demon Hunter’s Standard,手持ち,,,,,,,,,,,100,,,,,,,,,,,,,,,,50,,,,,,,1,,,,,,,,,,,,,40,,30,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,13-16,2.75,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[DEMON SLAYER],RESIST (RANDOM) 10%],,,,,,,,,,,,
Draconi’s Wrath,手持ち,,,,,,,,,,,,,,,,,,,,,,,20,,,,50,,,,,,,,,,,,,15,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,11-13,2.5,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,OPHIDIAN SLAYER,PLUS RANDOM PROPERTIES],,,,,,,,,,,
Dragon Nunchaku,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,40,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,20,,,,,,,,255/255,15,12-15,2.5,,,*,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-,ARTIFACT RARITY 12,DEMON SLAYER],,,,,,,,,,,
Dread’s Revenge,手持ち,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,30,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,10-12,2,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-mondains-legacy-peerless/,[FENCING +20],GARGISH EARRING,SHARD BOUND],,,,,,,,,,,
Enchanted Titan Leg Bone,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,20,,,,,,,,,,,,,10,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,255/255,40,10-13,2,,,*,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,,,,,,,,,,,,,
Eternal Guardian Staff,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,10,,,,,,,,,,,,,,,,,15-18,3.25,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[MYSTICISM +15], Sorcerer’s Dungeon, Kotl City, Khaldun, Archlich],,,,,,,,,
Exiler,手持ち,,,,,,,,,,,,,,,,,,,,100,,,,,,,40,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,255/255,35,12-15,2.5,,,*,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,[DEMON SLAYER],HEATER SHIELD/ LARGE PLATE SHIELD,HEALING BONUS 10%],,,,,,,,,,,
Fallen Mystic’s Spellbook,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[BLESSED,CHAOS SHIELD/ GARGISH CHAOS SHIELD],,,,,,,,,,,,
Flesh Ripper,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,40,,,*,,,,,255/255,15,10-12,2,,*,,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[SKILL BONUS ANATOMY +10,VORPAL BUNNY SUMMONING,ANATOMY +20],,,,,,,,,,,
Frostbringer,手持ち,,,,,,,,,,,,,,,,,,100,,,,,,,,,50,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,255/255,30,17-21,4.25,,,*,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11],VARIABLE RESISTS (PHYSICAL OVER 10 ALL OTHERS BELOW 10 )],,,,,,,,,,,,
Glenda,手持ち,,,,,,,,*,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,255/255,40,10–14,2.5,,*,,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,-,APRON,GARGOYLE ONLY,NECROMANCY +5],,,,,,,,,,
Halawa’s Hunting Bow,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,60,,,,255/255,35,,3.25,,,*,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-eodon/,[EODON SLAYER,DRAINS HIT POINTS MANA STAMINA AND KARMA],,,,,,,,,,,,
Hanzo’s Bow,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,255/255,35,13-17,3.25,,,*,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,[NINJITSU +10],,,,,,,,,,,,,
Ironwood Composite Bow,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,5,,,,,,,,,,,,,,40,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,30,,,,,,16-20,4,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[FEY SLAYER],,,,,,,,,,,,,
Jade War Axe,手持ち,,,,,,,,,,,,,,,,,,,,,,,10,,,,50,,,,,,,,,,,,,,,,,30,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,14-15,3.25,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[REPTILE SLAYER], Treasures of Fey Wrath],,,,,,,,,,,,
Legacy of Despair,手持ち,,,,,,,,,,,,,,,,,,75,25,,,,,,,,60,,,,,,,,,,,,,,10,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,14-18,3.5,,*,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,,,,,,,,,,,,,
Legacy of the Dread Lord,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,50,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,30,,,,,,,,255/255,45,17-20,3.75,,,,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 10],STEALTH +10],,,,,,,,,,,,
Lerei’s Hunting Spear,手持ち,,,,,,,,,,,,,,,,,,,100,,,,,,,,60,,,,,,,,,,,,,20,10,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,255/255,50,,2.75,,,*,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-eodon/,[REPTILE SLAYER,SPELLBOOK,MAGERY +20,MEDITATION +20],,,,,,,,,,
Life Syphon,手持ち,,,,,,,*,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,30,100,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,10-12,2,,,,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[OBTAINED FROM: (IN PACK) STYGIAN DRAGON],,,,,,,,,,,,,
Light in the Void,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,1,,,,,,10,,,,,,,45,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,20,,,,,,,,,,16-19,3.5,,,*,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[UNDEAD SLAYER],CONJURER’S GRIMOIRE,BLESSED,MAGERY +15,UNDEAD SLAYER,SPELLS 0],,,,,,,,
Luna Lance,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,20,,,*,,,,,255/255,95,18-22,4.25,,*,,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[CHIVALRY +10], Treasures of the Feudal Lands, Treasures of the Shattered Sanctum,UNDEAD SLAYER],,,,,,,,,,
Mangler,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,50,,,,50,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,*,,,,,,,13-17,3.25,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-, Treasures of the Shattered Sanctum,PLATE ARMS],,,,,,,,,,,
Melisande’s Corroded Hatchet,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,*,,,,,,,,15,,,,,,,,,,13-15,2.75,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-mondains-legacy-peerless/,[LUMBERJACKING +5],REPOND SLAYER,SHARD BOUND],,,,,,,,,,,
Mocapotl’s Obsidian Sword,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,50,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,40,,,,,,,,255/255,85,20–24,5,,,*,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-eodon/,[HIT PHYSICAL AREA 50%],VETERINARY +10,WOLF SLAYER],,,,,,,,,,,
Mordrax’s Tome,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,3,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-events/,[Event:Treasures of the Shattered Sanctum,MAGERY SPELLBOOK,CADDELLITE INFUSED,SLAYER (RANDOM)],,,,,,,,,,
Night’s Kiss,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,255/255,10,10-12,2,,*,,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[REPOND SLAYER],FEY SLAYER],,,,,,,,,,,,
Nox Ranger’s Heavy Crossbow,手持ち,,,,,,,,,,,,,,,,50,,,50,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,*,,,,,,,,30,,,,,,,,255/255,80,20-24,5,,,*,ARCHERY,8,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,BELT,RANDOM EATER 5%,RANDOM RESIST (MATCHES EATER) 10%],,,,,,,,,,
Peasant’s Bokuto,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,10,,,,,,,,255/255,20,10-12,2,,*,,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,[SNAKE SLAYER],SHARD BOUND],,,,,,,,,,,,
Petrified Snake,手持ち,,,,,,,,,,,,,,,,,,,100,,,,,,20,,50,,,,,,,,,,,,,,,,,,,,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,30,,,,,,,,,,16-19,3.5,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[REPTILE SLAYER],SHARD BOUND],,,,,,,,,,,,
Pilfered Dancer Fans,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,20,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,20,,,,,,,,255/255,10,11-13,2,,,*,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-,TALISMAN],,,,,,,,,,,,
Pixie Swatter,手持ち,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,12,,,,,,,,,,,,,,30,,,*,,,,,255/255,40,14-18,3.5,,*,,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[FEY SLAYER],case human],,,,,,,,,,,,
Raed’s Glory,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,20,,,,,,,,,15,10-13,2.25,,,*,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,RANDOM SLAYER,SHARD BOUND],,,,,,,,,,,
Raptor Claw,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,12,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,11-15,2.75,,,,,6,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[UNDEAD SLAYER],MAGERY +20,SPELLS 64],,,,,,,,,,,
Resonant Staff of Enlightenment,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,10,,,,,,,,,,,,,,,,,,,,,40,,,,,,5,,,5,,,,,-10,,,,,,,,,,,,,,,,,,20,,,,,*,,,,,,,,20,,,,,,,,,,11-14,2.25,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,FLAME SLAYER],,,,,,,,,,,,
Righteous Anger,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,40,,5,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,255/255,20,13-15,2.75,,*,,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,SHARD BOUND],,,,,,,,,,,,
Runed Driftwood Bow,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,40,,40,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,255/255,30,15-19,4.2,,,*,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-sunken/,-,,,,,,,,,,,,,
Scepter of the Chief,手持ち,,,,,,,,,,,,,,,,,,,100,,,,,,,,45,,,,,,,,,,,,,,,100,,,,,,,,,,100,,2,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-17,3.5,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-mondains-legacy-peerless/,-,BLESSED,SHARD BOUND,SPELLS 64],,,,,,,,,,
Serpent’s Fang,手持ち,,,,,,,,,,,,,,,,25,,,75,,,,,,,,50,,,,,,,,,,,100,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,255/255,10,10-12,2,,*,,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,-,case human,HUMAN VERSION- BLADED STAFF,BOTH WEAPONS],,,,,,,,,,
Shugenja’s Wand,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,10,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,255/255,2,11–15,2.75,1,*,,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-events/,[Event:Treasures of the Feudal Lands],RANDOM EATER & MATCHING RESIST 15%],,,,,,,,,,,,
Soul Seeker,手持ち,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,30,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,20,12-14,2.5,,*,,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[REPOND SLAYER],STEALTH +5,HIDING +5],,,,,,,,,,,
Staff Of Power,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,*,5,,,,,,,,,,,,,,,255/255,35,13-16,2.75,,,*,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,THIS ITEM CAN BE A TRANSMOGRIFICATION TARGET],,,,,,,,,,,,
Staff of Resonance,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,10,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,5,,,,,-10,,,,,,,,,,,,,,,,,,20,,,,,*,,,,,,,,20,,,,,,,,,,11-14,2.25,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[Damage Matches Resonance Type], Forest of the Dark, The Archlich, Treasures of the Shattered Sanctum,HOLDS UP TO 1000 BANDAGES,HIT POINT REGEN +2,BANDAGE HEALING BONUS (WHILE EQUIPPED) 10%],,,,,,,
Staff of Shattered Dreams,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,-1,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,*,,,20,,,,,,,,,,,,,,,11-14,2.25,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,SHARD BOUND],,,,,,,,,,,,
